53 ,54 ,0.403113
3 ,36 ,4.15
42 ,40 ,1.39284
36 ,3 36 ,4.15
58 ,59 ,1.32382
42 40 ,41 ,1.2855
29 ,28 ,1.25399
32 ,31 ,1.21758
34 ,35 ,1.21655
32 31 ,30 ,1.20416
39 ,38 ,1.20416
45 ,34 ,1.19269
61 ,60 ,1.17047
47 ,48 ,1.15434
61 60 ,62 ,1.15
5 ,4 ,1.12361
11 ,19 ,1.1068
43 ,39 ,1.10454
57 ,61 ,1.07703
46 ,33 ,1.07703
7 ,1 ,1.05475
33 ,46 33 ,1.07703
1 ,7 1 ,1.05475
33 46 33 ,33 46 33 ,1.07703
1 7 1 ,1 7 1 ,1.05475
22 ,20 ,1.04043
5 4 ,3 ,1.04043
20 ,22 20 ,1.04043
9 ,8 ,0.992472
20 22 20 ,20 22 20 ,1.04043
8 ,9 8 ,0.992472
57 61 ,56 ,0.992471
8 9 8 ,8 9 8 ,0.992472
56 ,57 61 56 ,0.992471
47 48 ,32 ,0.986154
56 57 61 56 ,56 57 61 56 ,0.992471
55 ,57 ,0.984885
37 ,44 ,0.970824
25 ,24 ,0.955249
44 ,37 44 ,0.970824
24 ,25 24 ,0.955249
24 25 24 ,24 25 24 ,0.943398
0 ,9 ,0.901388
6 ,5 ,0.874643
5 4 3 ,6 5 ,0.854401
18 ,11 ,0.851469
49 ,47 ,0.851469
55 57 ,43 ,0.806226
17 ,22 ,0.776209
50 ,49 ,0.715892
50 49 ,46 ,0.701783
12 ,6 ,0.680074
53 54 ,55 ,0.55
16 ,17 ,0.474341
12 6 ,15 ,0.4717
51 ,52 ,0.460978
15 ,12 6 15 ,0.4717
15 12 6 15 ,15 12 6 15 ,0.4717
51 52 ,53 ,0.460978
53 54 55 ,51 52 53 ,0.460977
16 17 ,13 ,0.460977
